dt_referencia,nr_ano,nr_mes,desc_nome_mes,desc_nome_mes_curto,nr_dia,desc_dia_semana,desc_dia_semana_curto,nr_dia_semana_iso,desc_ano_mes,desc_trimestre,desc_ano_trimestre,nr_semana_ano,dt_inicio_mes,dt_inicio_semana,nr_dia_semana_visual
2015-02-26,2015,2,Fevereiro,Fev,26,Quinta-Feira,Qui,4,2015-02,T1,2015-T1,9,2015-02-01,2015-02-23,5
2015-02-27,2015,2,Fevereiro,Fev,27,Sexta-Feira,Sex,5,2015-02,T1,2015-T1,9,2015-02-01,2015-02-23,6
2015-02-28,2015,2,Fevereiro,Fev,28,Sábado,Sab,6,2015-02,T1,2015-T1,9,2015-02-01,2015-02-23,7
2015-03-01,2015,3,Março,Mar,1,Domingo,Dom,7,2015-03,T1,2015-T1,9,2015-03-01,2015-02-23,1
2015-03-02,2015,3,Março,Mar,2,Segunda-Feira,Seg,1,2015-03,T1,2015-T1,10,2015-03-01,2015-03-02,2
2015-03-03,2015,3,Março,Mar,3,Terça-Feira,Ter,2,2015-03,T1,2015-T1,10,2015-03-01,2015-03-02,3
2015-03-04,2015,3,Março,Mar,4,Quarta-Feira,Qua,3,2015-03,T1,2015-T1,10,2015-03-01,2015-03-02,4
2015-03-05,2015,3,Março,Mar,5,Quinta-Feira,Qui,4,2015-03,T1,2015-T1,10,2015-03-01,2015-03-02,5
2015-03-06,2015,3,Março,Mar,6,Sexta-Feira,Sex,5,2015-03,T1,2015-T1,10,2015-03-01,2015-03-02,6
2015-03-07,2015,3,Março,Mar,7,Sábado,Sab,6,2015-03,T1,2015-T1,10,2015-03-01,2015-03-02,7
2015-03-08,2015,3,Março,Mar,8,Domingo,Dom,7,2015-03,T1,2015-T1,10,2015-03-01,2015-03-02,1
2015-03-09,2015,3,Março,Mar,9,Segunda-Feira,Seg,1,2015-03,T1,2015-T1,11,2015-03-01,2015-03-09,2
2015-03-10,2015,3,Março,Mar,10,Terça-Feira,Ter,2,2015-03,T1,2015-T1,11,2015-03-01,2015-03-09,3
2015-03-11,2015,3,Março,Mar,11,Quarta-Feira,Qua,3,2015-03,T1,2015-T1,11,2015-03-01,2015-03-09,4
2015-03-12,2015,3,Março,Mar,12,Quinta-Feira,Qui,4,2015-03,T1,2015-T1,11,2015-03-01,2015-03-09,5
2015-03-13,2015,3,Março,Mar,13,Sexta-Feira,Sex,5,2015-03,T1,2015-T1,11,2015-03-01,2015-03-09,6
2015-03-14,2015,3,Março,Mar,14,Sábado,Sab,6,2015-03,T1,2015-T1,11,2015-03-01,2015-03-09,7
2015-03-15,2015,3,Março,Mar,15,Domingo,Dom,7,2015-03,T1,2015-T1,11,2015-03-01,2015-03-09,1
2015-03-16,2015,3,Março,Mar,16,Segunda-Feira,Seg,1,2015-03,T1,2015-T1,12,2015-03-01,2015-03-16,2
2015-03-17,2015,3,Março,Mar,17,Terça-Feira,Ter,2,2015-03,T1,2015-T1,12,2015-03-01,2015-03-16,3
2015-03-18,2015,3,Março,Mar,18,Quarta-Feira,Qua,3,2015-03,T1,2015-T1,12,2015-03-01,2015-03-16,4
